,ja,en-GB,en,de,es,es-MX,fr-CA,fr,it,ko,nl,ru,zh-Hant,zh-Hans
DarkMode,ダークモード,Dark mode,Dark mode,Dunkler Modus,Modo oscuro,Modo oscuro,Mode sombre,Mode sombre,Modalità scura,다크 모드,Donkere modus,Темный режим,暗色模式,黑暗模式
DataManagement,データ管理,Data Management,Data Management,Datenverwaltung,Gestión de datos,Gestión de datos,Gestion des données,Gestion des données,Gestione dei dati,데이터 관리,Gegevensbeheer,Управление данными,資料管理,数据管理
DeathCount,助けられた回数,Rescued count,Rescued count,Gerettete Anzahl,Recuento rescatado,Recuento rescatado,Compte de sauvetage,Compte de sauvetage,Conteggio dei salvataggi,구조된 수,Geredde telling,Спасенный граф,救援計數,获救人数
DefeatedCount,オオモノシャケをたおした数,Defeated count,Defeated count,Geschlagene Zählung,Recuento derrotado,Recuento derrotado,Comptage défait,Compte défait,Conteggio sconfitto,패배한 횟수,Verslagen telling,Проигранный счет,擊敗計數,被打败的次数
EstimatedValue,推定値,Estimated,Estimated,Geschätzte,Estimación,Estimación,Estimation de,Estimation de,Stimato,예상,Geschat,Оценка,預估,估计的
EventClearRatio,イベントクリア率,Clear ratio,Clear ratio,Klares Verhältnis,Relación clara,Relación clara,Rapport clair,Rapport clair,Rapporto chiaro,클리어 비율,Duidelijke verhouding,Четкое соотношение,清除比率,清除率
EventFrequency,イベント発生率,Event frequency,Event frequency,Häufigkeit der Ereignisse,Frecuencia de los eventos,Frecuencia de los eventos,Fréquence des événements,Fréquence des événements,Frequenza dell'evento,이벤트 빈도,Gebeurtenis frequentie,Частота событий,事件頻率,事件频率
FAQ,よくあるご質問,FAQ,FAQ,FAQ,PREGUNTAS FRECUENTES,PREGUNTAS FRECUENTES,FAQ,FAQ,FAQ,자주 묻는 질문,FAQ,ЧАСТО ЗАДАВАЕМЫЕ ВОПРОСЫ,常見問題,常见问题
GamingMode,ゲーミングモード,Gaming mode,Gaming mode,Spiele-Modus,Modo de juego,Modo de juego,Mode de jeu,Mode de jeu,Modalità di gioco,게임 모드,Gaming modus,Игровой режим,遊戲模式,游戏模式
GradeId,称号,Grade,Grade,Klasse,Grado,Grado,Grade,Grade,Grado,학년,Rang,Класс,成績,等级
GradePoint,評価ポイント,Grade point,Grade point,Notenpunkt,Calificación,Calificación,Point de note,Point de note,Punto di valutazione,학점,Grade point,Балл за оценку,成績點數,成绩点
HighestRecord,最高きろく,Highest,Highest,Höchste,Más alto,Más alto,Le plus haut,Le plus haut,Il più alto,최고,Hoogste,Самый высокий,最高的,最高的
Ikaring2,イカリング2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2,SplatNet2
Ikaring3,イカリング3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3,SplatNet3
Invalid,無効,Invalid,Invalid,Ungültig,No válido,No válido,Invalide,Invalide,Non valido,잘못된,Ongeldig,Неверный,無效的,无效
Languages,言語,Languages,Languages,Sprachen,Idiomas,Idiomas,Langues,Langues,Le lingue,언어,Talen,Языки,語言,语言
ShareLogToDeveloper,開発者にログを送信します。エラー発生時にログファイルを送信していただくことで、開発者が原因特定と修正するのが楽になります。ログファイルには個人を特定する一切の情報は含まれていません。,Send logs to developer. Sending the log file when an error occurs will make it easier for the developer to identify and correct the cause of the error. The log file does not contain any personally identifiable information.,Send logs to developer. Sending the log file when an error occurs will make it easier for the developer to identify and correct the cause of the error. The log file does not contain any personally identifiable information.,"Protokolle an den Entwickler senden. Das Versenden der Protokolldatei bei Auftreten eines Fehlers erleichtert es dem Entwickler, die Fehlerursache zu ermitteln und zu beheben. Die Protokolldatei enthält keine persönlich identifizierbaren Informationen.",Enviar logs al desarrollador. El envío del archivo de registro cuando se produce un error facilitará al desarrollador la identificación y corrección de la causa del error. El archivo de registro no contiene información personal identificable.,Enviar logs al desarrollador. El envío del archivo de registro cuando se produce un error facilitará al desarrollador la identificación y corrección de la causa del error. El archivo de registro no contiene información personal identificable.,Envoyer les journaux au développeur. L'envoi du fichier journal lorsqu'une erreur se produit permet au développeur d'identifier et de corriger plus facilement la cause de l'erreur. Le fichier journal ne contient aucune information personnelle identifiable.,Envoyer les journaux au développeur. L'envoi du fichier journal lorsqu'une erreur se produit permet au développeur d'identifier et de corriger plus facilement la cause de l'erreur. Le fichier journal ne contient aucune information personnelle identifiable.,Inviare i log allo sviluppatore. L'invio del file di log quando si verifica un errore renderà più facile per lo sviluppatore identificare e correggere la causa dell'errore. Il file di log non contiene informazioni di identificazione personale.,개발자에게 로그를 전송합니다. 오류가 발생할 때 로그 파일을 전송하면 개발자가 오류의 원인을 식별하고 수정하기 쉬워집니다. 로그 파일은 개인 식별 정보를 포함하지 않습니다.,"Logbestanden naar ontwikkelaar sturen. Door het logbestand te versturen wanneer een fout optreedt, kan de ontwikkelaar gemakkelijker de oorzaak van de fout opsporen en corrigeren. Het logbestand bevat geen persoonlijk identificeerbare informatie.",Отправляйте журналы разработчику. Отправка файла журнала при возникновении ошибки облегчит разработчику выявление и устранение причины ошибки. Файл журнала не содержит никакой личной информации.,傳送日誌給開發人員。當發生錯誤時，傳送日誌文件將有助於開發人員識別和修正錯誤的原因。日誌文件不包含任何個人身份識別信息。,发送日志给开发人员。当出现错误时发送日志文件将有助于开发人员识别和纠正错误的原因。日志文件不包含任何个人身份识别信息。
ShareLog,ログ送信,Share logs,Share logs,Protokolle teilen,Compartir registros,Compartir registros,Registres des partages,Registres des partages,Condividi i log,로그 공유하기,Logboeken delen,Делить журналы,分享日誌,分享日志
LogSize,ログファイル,Log files,Log files,Log-Dateien,Archivos de registro,Archivos de registro,Fichiers journaux,Fichiers journaux,File di log,로그 파일,Logbestanden,Файлы журналов,日誌文件,日志文件
MyPage,マイページ,My page,My page,Meine Seite,Mi página,Mi página,Ma page,Ma page,La mia pagina,내 페이지,Mijn pagina,Моя страница,我的頁面,我的页面
PlayerCrew,なかま,Crew,Crew,Besatzung,Tripulación,Tripulación,Equipage,Equipage,Equipaggio,크루,Bemanning,Экипаж,組,职员
PlayerYou,あなた,You,You,Sie,Usted,Usted,Vous,Vous,Tu,당신,Jij,Вы,您,你
PrivacyPolicy,プライバシーポリシー,Privacy Policy,Privacy Policy,Datenschutzbestimmungen,Política de privacidad,Política de privacidad,Politique de confidentialité,Politique de confidentialité,Informativa sulla privacy,개인 정보 정책,Privacybeleid,Политика конфиденциальности,隱私政策,隐私政策
RequestForm,フォーム,Form,Form,Formular,Formulario,Formulario,Formulaire,Formulaire,Forma,양식,Formulier,Форма,表格,形状
RequestFormBug,バグ修正,Bug,Bug,Fehler,Error,Error,Bug,Bug,Bug,버그,Bug,Ошибка,錯誤,错误
RequestFormContent,内容,Content,Content,Inhalt,Contenido,Contenido,Contenu,Contenu,Contenuto,컨텐츠,Inhoud,Содержание,內容,内容
RequestFormEnhancement,改善案,Enhancement,Enhancement,Erweiterung,Mejora,Mejora,Amélioration,Amélioration,Potenziamento,기능 향상,Verbetering,Усиление,增強,增强功能
RequestFormFeature,機能追加,Feature,Feature,Merkmal,Característica,Característica,Fonctionnalité,Fonctionnalité,Caratteristica,특징,Functie,Характеристика,功能,特点
RequestFormTitle,タイトル,Title,Title,Titel,Título,Título,Titre,Titre,Titolo,제목,Titel,Название,標題,标题
RequestFormType,種類,Type,Type,Typ,Tipo,Tipo,Type,Type,Tipo,유형,Type,Тип,類型,类型
RequsetFormSubmit,送信,Submit,Submit,Einreichen,Enviar,Enviar,Soumettre,Soumettre,Invia,제출,Dien  in,Отправить,提交,提交
Restore,リストア,Restore,Restore,Wiederherstellen,Restaurar,Restaurar,Restaurer,Restaurer,Ripristino,복원,Herstel,Восстановить,還原,恢复
RestoreContext,ファイルアプリからリストアするファイルを選択してください。,Select file to restore in Files app.,Select file to restore in Files app.,Wählen Sie die wiederherzustellende Datei in der Dateien-App aus.,Seleccione el archivo que desea restaurar en la aplicación Archivos.,Seleccione el archivo que desea restaurar en la aplicación Archivos.,Sélectionnez le fichier à restaurer dans l'application Fichiers.,Sélectionnez le fichier à restaurer dans l'application Fichiers.,Selezionare il file da ripristinare nell'applicazione File.,파일 앱에서 복원할 파일 선택.,Selecteer bestand om te herstellen in Bestanden app.,"Выберите файл для восстановления в приложении ""Файлы"".",在「檔案」應用程式中選擇要還原的檔案。,在文件应用程序中选择要恢复的文件。
ResultsCount,リザルト件数,Results count,Results count,Ergebnisse zählen,Recuento de resultados,Recuento de resultados,Nombre de résultats,Nombre de résultats,Conteggio dei risultati,결과 수,Resultaten tellen,Подсчет результатов,結果計數,结果计数
Role_Debuger,デバッグ,Debug,Debug,Debuggen,Depurar,Depurar,Déboguer,Déboguer,Debug,디버그,Debug,Отладка,除錯,调试
Role_Developer,開発,Developer,Developer,Entwickler,Desarrollador,Desarrollador,Développeur,Développeur,Sviluppatore,개발자,Ontwikkelaar,Разработчик,開發者,开发商
Role_Tester,テスト,Testor,Testor,Testor,Testor,Testor,Testor,Testor,Testor,테스터,Testor,Testor,測試者,检验员
Role_Translator,翻訳,Translator,Translator,Übersetzer,Traductor,Traductor,Traducteur,Traducteur,Traduttore,번역자,Vertaler,Переводчик,翻譯者,翻译人员
SaveToPhotoLibrary,保存しました,Saved successfully,Saved successfully,Erfolgreich gespeichert,Guardado correctamente,Guardado correctamente,Sauvegardé avec succès,Sauvegardé avec succès,Salvato con successo,성공적으로 저장되었습니다.,Met succes opgeslagen,Сохранено успешно,儲存成功,已成功保存
ScheduleSync,スケジュール同期,Sync Schedule,Sync Schedule,Zeitplan synchronisieren,Sincronizar horario,Sincronizar horario,Calendrier de synchronisation,Calendrier de synchronisation,Programma di sincronizzazione,동기화 일정,Synchronisatie schema,Расписание синхронизации,同步排程,同步时间表
ScheduleSyncContext,スケジュールサーバーから過去のスケジュールを取得します,Retrieve schedule from the server.,Retrieve schedule from the server.,Abrufen des Zeitplans vom Server.,Recupera la programación del servidor.,Recupera la programación del servidor.,Récupérer le calendrier depuis le serveur.,Récupérer le calendrier depuis le serveur.,Recupera la pianificazione dal server.,서버에서 일정 검색.,Agenda ophalen van de server.,Получение расписания с сервера.,從伺服器檢索排程。,从服务器检索时间表。
SignIn,ログイン,Sign in,Sign in,Eintragen,Iniciar sesión,Iniciar sesión,Se connecter,Se connecter,Accedi,로그인,Aanmelden,Войти,登入,登录
SignOut,ログアウト,Sign out,Sign out,Abmelden,Cerrar sesión,Cerrar sesión,Se déconnecter,Se déconnecter,Esci,로그아웃,Afmelden,Выписаться,登出,签出
SignOutSuccessfully,ログアウト成功しました,Sign out successfully,,Erfolgreich abmelden,Cerrar sesión correctamente,Cerrar sesión correctamente,Déconnexion réussie,Déconnexion réussie,Esci con successo,로그아웃 성공적으로 완료되었습니다,Succesvol afmelden,Успешно выйти из системы,登出成功,登出成功
SignOutContext,ニンテンドーアカウントとの連携を解除します,Unlink the Nintendo Switch account.,Unlink the Nintendo Switch account.,Entkoppeln Sie das Nintendo Switch-Konto.,Desvincula la cuenta de Nintendo Switch.,Desvincula la cuenta de Nintendo Switch.,Détachez le compte Nintendo Switch.,Détachez le compte Nintendo Switch.,Disconnettere l'account Nintendo Switch.,닌텐도 스위치 계정 연결 해제.,Ontkoppel het Nintendo Switch-account.,Отвяжите учетную запись Nintendo Switch.,取消連結任天堂Switch帳戶。,解除对Nintendo Switch账户的链接。
SourceCode,ソースコード,Source code,Source code,Quellcode,Código fuente,Código fuente,Code source,Code source,Codice sorgente,소스 코드,Broncode,Исходный код,原始碼,源代码
SuppliedRatio,支給率,Supplied ratio,Supplied ratio,Angegebenes Verhältnis,Proporción suministrada,Proporción suministrada,Rapport fourni,Rapport fourni,Rapporto fornito,공급 비율,Geleverde verhouding,Коэффициент обеспеченности,供應比率,提供的比率
UpdateRequired,アプリをアップデートしてください,App update is required,App update is required,App-Update ist erforderlich,Es necesario actualizar la aplicación,Es necesario actualizar la aplicación,Une mise à jour de l'application est nécessaire,Une mise à jour de l'application est nécessaire,È necessario un aggiornamento dell'app,앱 업데이트가 필요합니다.,App update is vereist,Требуется обновление приложения,需要應用程式更新,需要更新应用程序
UserData,ユーザーデータ,User data,User data,Benutzerdaten,Datos del usuario,Datos del usuario,Données de l'utilisateur,Données de l'utilisateur,Dati utente,사용자 데이터,Gebruikersgegevens,Данные пользователя,使用者資料,用户数据
Valid,有効,Valid,Valid,Gültig,Válido,Válido,Valable,Valable,Valido,유효한,Geldig,Действителен,有效的,有效
Version,バージョン,Version,Version,Version,Versión,Versión,Version,Version,Versione,버전,Versie,Версия,版本,版本
WipeLog,ログ消去,Wipe logs,Wipe logs,Protokolle wischen,Limpiar registros,Limpiar registros,Essuyer les journaux,Essuyer les journaux,Pulire i registri,로그 제거,Logboeken wissen,Протирать журналы,清除日誌,擦拭日志
WipeLogContext,保存されている全てのログを消去します。,Wipe all of logs.,Wipe all of logs.,Wischen Sie alle Protokolle ab.,Limpia todos los registros.,Limpia todos los registros.,Effacez tous les journaux.,Effacez tous les journaux.,Pulire tutti i registri.,모든 로그 제거.,Veeg alle logboeken weg.,Протрите все журналы.,清除所有日誌。,擦拭所有的日志。
WipeResults,リザルト消去,Wipe results,Wipe results,Ergebnisse wischen,Resultados de la limpieza,Resultados de la limpieza,Résultats de l'essuyage,Résultats de l'essuyage,Risultati della pulizia,결과 제거,Veegresultaten,Результаты вытирания,清除結果,擦拭结果
WipeResultsContext,保存されている全てのリザルトを消去します。,Wipe all of data.,Wipe all of data.,Löschen Sie alle Daten.,Borra todos los datos.,Borra todos los datos.,Effacer toutes les données.,Effacer toutes les données.,Cancellare tutti i dati.,모든 데이터 제거.,Wis alle gegevens.,Сотрите все данные.,清除所有資料。,擦除所有数据。
WriteReview,レビューを書く,Write a review,Write a review,Eine Bewertung schreiben,Escriba un comentario,Escriba un comentario,Écrire un commentaire,Écrire un commentaire,Scrivi una recensione,리뷰 작성,Schrijf een review,Написать отзыв,撰寫評論,撰写评论
OverallRecord,総合きろく,Overall,Overall,Insgesamt,En general,En general,En général,En général,In generale,전반적으로,Algemeen,В целом,整體,总的来说
GoldenEggs,金イクラ,Golden Eggs,Golden Eggs,Goldene Eier,Huevos de oro,Huevos de oro,Œufs d'or,Œufs d'or,Uova d'oro,황금 알,Gouden eieren,Золотые яйца,金蛋,金蛋
PowerEggs,イクラ,Power Eggs,Power Eggs,Power-Eier,Huevos de energía,Huevos de energía,Œufs à la puissance,Œufs à la puissance,Uova di potenza,파워 에그,Power Eggs,Энергетические яйца,能量蛋,动力蛋
Overview,概要,Overview,Overview,Übersicht,Visión general,Visión general,Vue d'ensemble,Vue d'ensemble,Panoramica,개요,Overzicht,Обзор,概述,概述
Locale,ja-JP,en-GB,en-US,de-DE,es-ES,es-MX,fr-CA,fr-FR,it-IT,en-GB,nl-NL,ru-RU,zh-TW,zh-CN
LanguageCode,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shakeall,総合,All,All,Alle,Todos,Todos,Tous,Tous,Tutti,모든,Alle,Все,全部,全部
Database,データベース,Database,Database,Datenbank,Base de datos,Base de datos,Base de données,Base de données,Database,데이터베이스,Database,База данных,資料庫,数据库
XProductVersion,X-ProductVersion,X-ProductVersion,X-ProductVersion,X-ProductVersion,X-ProductVersion,X-ProductVersion,X-ProductVersion,X-ProductVersion,X-ProductVersion,X-제품 버전,X-ProductVersion,X-ProductVersion,X-產品版本,X-ProductVersion
XWebViewVer,X-WebViewVer,X-WebViewVer,X-WebViewVer,X-WebViewVer,X-WebViewVer,X-WebViewVer,X-WebViewVer,X-WebViewVer,X-WebViewVer,X-웹뷰 버전,X-WebViewVer,X-WebViewVer,X-WebView版本,X-WebViewVer
Upload,アップロード,Upload,Upload,Hochladen,Cargar,Cargar,Télécharger,Télécharger,Caricare,업로드,uploaden,Загрузить,上傳,上传
CreditDevelop,開発,Developer,Developer,Entwickler,Desarrollador,Desarrollador,Développeur,Développeur,Sviluppatore,개발자,Ontwikkelaar,Разработчик,開發者,开发商
CreditTest,テスト,Tester,Tester,Tester,Comprobador,Comprobador,Testeur,Testeur,Collaudatore,테스터,Tester,Тестер,測試者,测试员
CreditDesign,UI/UXデザイン,UI/UX Design,UI/UX Design,UI/UX Gestaltung,Diseño UI/UX,Diseño UI/UX,Design UI/UX,Design UI/UX,Design UI/UX,UI/UX 디자인,UI/UX ontwerp,UI/UX дизайн,UI/UX設計,UI/UX设计
Dummy,???,???,???,???,???,???,???,???,???,???,???,???,???,???
TeamPointCard,チームポイントカード,Team Point Card,Team Point Card,Team-Punktekarte,Tarjeta de puntos del equipo,Tarjeta de puntos del equipo,Carte de points d'équipe,Carte de points d'équipe,Scheda punti squadra,팀 포인트 카드,Teampuntenkaart,Карточка командных очков,團隊點數卡,团队积分卡
UseEstimatedValue,推定値を表示,Use estimated values,Use estimated values,Geschätzte Werte verwenden,Utilizar valores estimados,Utilizar valores estimados,Utiliser des valeurs estimées,Utiliser des valeurs estimées,Utilizzare valori stimati,추정 값을 사용,Gebruik geschatte waarden,Использовать оценочные значения,使用預估值,使用估计值
CheckInReward,報酬,Rewards,Rewards,Belohnungen,Recompensas,Recompensas,Récompenses,Récompenses,Premi,보상,Beloningen,Вознаграждения,獎勵,奖励
GetCheckInReward,過去に配布されていたQRコードの報酬を取得します。,Get all of rewards for QR codes.,Get all of rewards for QR codes.,Holen Sie sich alle Belohnungen für QR-Codes.,Consigue todas las recompensas por códigos QR.,Consigue todas las recompensas por códigos QR.,Obtenez toutes les récompenses pour les codes QR.,Obtenez toutes les récompenses pour les codes QR.,Ottenete tutti i premi per i codici QR.,QR 코드에 대한 모든 보상 가져오기.,Krijg alle beloningen voor QR-codes.,Получите все вознаграждения за QR-коды.,掃描QR碼獲取所有獎勵。,获得二维码的所有奖励。
TeamResult,チーム,Team,Team,Team,Equipo,Equipo,L'équipe,L'équipe,Squadra,팀,Team,Команда,團隊,团队
PlayerResult,あなた,You,You,Sie,Usted,Usted,Vous,Vous,Tu,당신,Jij,Вы,您,你
CrewResult,なかま,Crew,Crew,Besatzung,Tripulación,Tripulación,L'équipage,L'équipage,Equipaggio,크루,Bemanning,Экипаж,組,职员
WaveResult,Waves,Waves,Waves,Wellen,Olas,Olas,Vagues,Vagues,Onde,파도,Golven,Волны,海浪,波浪
HighestValue,最高,Max,Max,Max,Max,Max,Max,Max,Massimo,최대,Max,Макс,最高,最大
AverageValue,平均,Avg,Avg,Avg,Avg,Avg,Moyenne,Moyenne,Avg,평균,Gemiddeld,Avg,平均,平均
RequirediOS16,この機能を利用するにはiOS16以上にアップデートする必要があります。,You must update to iOS16 or higher to use this feature,You must update to iOS16 or higher to use this feature,"Sie müssen auf iOS16 oder höher aktualisieren, um diese Funktion nutzen zu können",Debes actualizar a iOS16 o superior para utilizar esta función,Debes actualizar a iOS16 o superior para utilizar esta función,Vous devez mettre à jour vers iOS16 ou une version plus récente pour utiliser cette fonctionnalité.,Vous devez mettre à jour vers iOS16 ou une version plus récente pour utiliser cette fonctionnalité.,Per utilizzare questa funzione è necessario aggiornare a iOS16 o versioni successive.,이 기능을 사용하려면 iOS16 이상으로 업데이트해야합니다.,Je moet updaten naar iOS16 of hoger om deze functie te gebruiken.,Для использования этой функции необходимо обновить iOS до версии 16 или выше,您必須更新到iOS 16或更高版本才能使用此功能,你必须更新到iOS16或更高版本才能使用这一功能
RestoreSuccess,リザルト復元に成功しました。,Restore results successfully,Restore results successfully,Ergebnisse erfolgreich wiederherstellen,Restaurar resultados con éxito,Restaurar resultados con éxito,Restaurer les résultats avec succès,Restaurer les résultats avec succès,Ripristino dei risultati con successo,결과를 성공적으로 복원했습니다.,Succesvolle resultaten herstellen,Успешное восстановление результатов,成功還原結果,成功恢复结果
RestoreFailure,リザルト復元に失敗しました。未サポートの形式またはファイルが改ざんされているため署名が一致しません。,Restore results failure. Unsupported format or signature does not match due to file has been tampered with.,Restore results failure. Unsupported format or signature does not match due to file has been tampered with.,"Wiederherstellungsergebnisse sind fehlgeschlagen. Nicht unterstütztes Format oder die Signatur stimmt nicht überein, weil die Datei manipuliert wurde.",Fallo en los resultados de la restauración. Formato no compatible o la firma no coincide debido a que el archivo ha sido manipulado.,Fallo en los resultados de la restauración. Formato no compatible o la firma no coincide debido a que el archivo ha sido manipulado.,Échec de la restauration. Le format n'est pas pris en charge ou la signature ne correspond pas parce que le fichier a été modifié.,Échec de la restauration. Le format n'est pas pris en charge ou la signature ne correspond pas parce que le fichier a été modifié.,Risultato del ripristino non riuscito. Il formato non è supportato o la firma non corrisponde perché il file è stato manomesso.,결과 복원 실패. 지원하지 않는 형식 또는 파일이 조작되어 서명이 일치하지 않습니다.,Herstelresultaten mislukt. Niet ondersteund formaat of handtekening komt niet overeen omdat er met het bestand is geknoeid.,"Сбой результатов восстановления. Неподдерживаемый формат или подпись не соответствует из-за того, что файл был подделан.",還原結果失敗。不支援的格式或檔案簽章不符合，因為檔案已被篡改。,恢复结果失败。由于文件被篡改，不支持的格式或签名不匹配。
ResultsCount,リザルト件数,Results,Results,Ergebnisse,Resultados,Resultados,Résultats,Résultats,Risultati,결과,Resultaten,Результаты,結果,结果
DeveloperAnswer,デベロッパの回答,Developer's response,Developer's response,Antwort des Entwicklers,Respuesta del promotor,Respuesta del promotor,Réponse du développeur,Réponse du développeur,Risposta dello sviluppatore,소개,Antwoord van de ontwikkelaar,Ответ разработчика,開發者的回應,开发者的回应
